block_id,block_start_time,block_end_time,rows,positive_count,positive_rate,p_adic_tree_scan_llr,tree_scan_depth,tree_scan_node,tree_scan_observed,tree_scan_expected,tree_scan_support_ok,p_adic_conditional_tree_scan_llr,conditional_tree_scan_depth,conditional_tree_scan_node,conditional_tree_scan_parent_node,conditional_tree_scan_observed,conditional_tree_scan_parent_observed,conditional_tree_scan_expected,conditional_tree_scan_support_ok,flat_tuple_scan_llr,marginal_column_scan_llr,reversed_hierarchy_tree_scan_llr,random_hierarchy_tree_scan_llr_seed_11,random_hierarchy_tree_scan_llr_seed_17,random_hierarchy_tree_scan_llr_seed_23,random_hierarchy_tree_scan_llr_seed_31,random_hierarchy_tree_scan_llr_seed_47,category_entropy_temporal,transaction_count_signal
10,1519899555.0,1519899657.0,1035,912,0.881159420289855,123.30339509682219,3,680139614562,34,0.3416798670620775,True,119.62752507769875,3,680139614562,13147,34,326,0.3954979661327978,True,63.18539001217182,123.30264785242163,63.18539001217182,63.18539001217182,100.70159423986587,93.09953529901799,100.7009807232811,93.15555233180515,8.647437831114196,1035.0
11,1519899657.0,1519899740.0,1035,824,0.7961352657004831,132.6297239541439,3,680139614562,36,0.3416798670620775,True,134.72976062134134,3,680139614562,13147,36,279,0.3384783207087441,True,72.31033114972172,132.62893230797403,72.31033114972172,74.48228144764042,109.97322877879347,102.34262260759128,109.97257098221539,102.40299424892365,9.958664111267604,1035.0
12,1519899740.0,1519899740.0,1035,1035,1.0,900.6747016947354,2,0,816,188.23657834530763,True,520.6857390217633,2,0,0,816,1035,312.9816712746687,True,3.803115258844408,1006.5731141874102,1008.0343143659943,987.8179223017278,987.4725747443478,1006.5731141874102,250.62501176091234,1006.5790305791958,10.613471237138437,1035.0
13,1519899740.0,1519899771.0,1034,998,0.965183752417795,546.41947965236,2,0,671,188.05470725511896,True,295.150133157711,2,0,0,671,990,299.3737725235962,True,86.39721399105407,584.7966932753067,585.5918167203,593.5100623247813,604.5294215744598,584.7966932753067,124.16709673528368,584.8015165544733,11.24838309284995,1034.0
14,1519899771.0,1519899873.0,1035,715,0.6908212560386473,132.6297239541439,3,680139614562,36,0.3416798670620775,True,130.8436801552969,3,680139614562,13147,36,309,0.37487383906452304,True,72.31033114972172,132.62893230797403,72.31033114972172,72.31033114972172,109.97322877879347,102.34262260759128,109.97257098221539,102.40299424892365,8.390517118707992,1035.0
15,1519899873.0,1519899885.0,1035,223,0.21545893719806763,638.2283867900828,2,0,713,188.23657834530763,True,400.3453703534974,2,0,0,713,954,288.4874535227381,True,3.803115258844408,633.7896009932168,586.8526088810077,708.8695644208445,708.5796553843236,585.6598512667425,146.95931109796248,585.6646802798871,11.396703290337795,1035.0
16,1519899885.0,1519899886.0,1034,762,0.7369439071566731,833.2063961652796,2,0,791,188.05470725511896,True,475.2332601680033,2,0,0,791,1029,311.1672847745257,True,5.832330817443346,959.5716803879516,960.5339514575793,919.6483278866313,916.6261850401427,959.5716803879516,241.13915051318307,959.5775179446739,10.740541622474039,1034.0
17,1519899886.0,1519899981.0,1035,658,0.6357487922705314,63.137108725854375,4,2273930533151,18,0.20241236647697536,True,59.21793737022751,3,680139614562,13147,20,330,0.4003507019135683,True,37.29018422874407,62.39090015462507,84.01863918316623,90.13797061373891,52.679370892226174,51.86905452084321,52.679000915605556,51.8705300217091,8.714234729096514,1035.0
18,1519899981.0,1519900035.0,1035,214,0.20676328502415459,562.6330818085252,2,0,679,188.23657834530763,True,315.205387707049,2,0,0,679,981,296.65219277338167,True,25.415838095573015,562.7727054401678,491.52406910556476,606.1748509456974,614.8970579563361,490.7882338459609,59.11464738968188,490.79269735368007,11.643547134957958,1035.0
19,1519900035.0,1519900035.0,1034,751,0.7263056092843327,879.6240962281652,2,0,808,188.05470725511896,True,505.9805706063238,2,0,0,808,1033,312.37687577462106,True,2.5134874534069245,999.0367201931468,1000.4942484051783,965.6980691339803,965.3568994776188,999.0367201931468,250.37319094108994,999.0426217133188,10.597667859899667,1034.0
