block_id,block_start_time,block_end_time,rows,positive_count,positive_rate,p_adic_tree_scan_llr,tree_scan_depth,tree_scan_node,tree_scan_observed,tree_scan_expected,tree_scan_support_ok,p_adic_conditional_tree_scan_llr,conditional_tree_scan_depth,conditional_tree_scan_node,conditional_tree_scan_parent_node,conditional_tree_scan_observed,conditional_tree_scan_parent_observed,conditional_tree_scan_expected,conditional_tree_scan_support_ok,flat_tuple_scan_llr,marginal_column_scan_llr,reversed_hierarchy_tree_scan_llr,random_hierarchy_tree_scan_llr_seed_11,random_hierarchy_tree_scan_llr_seed_17,random_hierarchy_tree_scan_llr_seed_23,random_hierarchy_tree_scan_llr_seed_31,random_hierarchy_tree_scan_llr_seed_47,category_entropy_temporal,transaction_count_signal
16,11246665.0,11309850.0,1846,53,0.028710725893824486,47.43525026903367,1,0,1558,1385.920918559229,True,22.100047770820773,5,28149428,457746,9,16,0.41441057343849924,True,17.584257842306233,59.28174171494658,17.584257842306233,17.584257842306233,17.584257842306233,17.584257842306233,17.584257842306233,47.43525026903367,6.393316652473932,1846.0
17,11309871.0,11377868.0,1845,68,0.03685636856368564,29.74018936883907,1,0,1523,1385.1701488308654,True,11.38328956131014,5,28149426,457744,4,7,0.12474098632407793,True,10.8888119073088,30.525342748914795,10.8888119073088,10.8888119073088,10.8888119073088,10.8888119073088,10.8888119073088,29.74018936883907,6.437050797580088,1845.0
18,11377913.0,11415055.0,1846,78,0.04225352112676056,32.14142356325044,1,0,1529,1385.920918559229,True,17.249206369728075,4,684726,3783,11,27,1.1405086619977884,True,13.643813369439727,34.289537791700184,13.643813369439727,13.643813369439727,13.643813369439727,15.551726246062817,13.643813369439727,32.14142356325044,6.5895838819525006,1846.0
19,11415084.0,11481762.0,1845,64,0.034688346883468835,47.318262251527216,1,0,1557,1385.1701488308654,True,6.623974423332774,5,360907233,915367,2,3,0.04238197424892704,True,4.737233454501464,51.14406261285865,6.100146307468165,4.737233454501464,5.810616296441552,9.639857021780628,4.737233454501464,47.318262251527216,6.473137403344073,1845.0
20,11481779.0,11550625.0,1846,88,0.047670639219934995,27.189556616579637,2,61,1299,1147.9712195042455,True,12.303607586956883,5,208149082,461467,4,28,0.07438123623169625,True,11.072598868542467,28.451416730936984,11.072598868542467,14.189844596535465,11.072598868542467,12.198970920787346,11.072598868542467,20.78961637374381,6.5873340108442395,1846.0
21,11550638.0,11605713.0,1845,87,0.04715447154471545,10.41340393955588,5,249682884,6,0.4177942087188245,True,12.106692571364498,4,461405,7443,32,44,15.940621378511121,True,10.41340393955588,8.37122119751237,10.41340393955588,10.41340393955588,10.872531356840256,10.41340393955588,10.41340393955588,10.872531356840256,6.8970147795487655,1845.0
22,11605947.0,11654350.0,1846,66,0.035752979414951244,32.14142356325044,1,0,1529,1385.920918559229,True,7.467263330734152,4,461466,7504,35,46,22.179374010309626,True,5.513868285606042,35.24087013728253,7.139201846697695,11.638308213730028,6.695585497527375,11.672502860098945,5.513868285606042,32.14142356325044,6.476703382268169,1846.0
23,11654355.0,11725712.0,1845,64,0.034688346883468835,26.25049073991883,1,0,1515,1385.1701488308654,True,14.441598451080482,5,623520529,457684,6,23,0.23636744966442955,True,17.949721798475363,30.97018788121555,17.949721798475363,17.949721798475363,17.949721798475363,17.949721798475363,17.949721798475363,26.25049073991883,6.436787029022277,1845.0
24,11725727.0,11803808.0,1845,64,0.034688346883468835,18.55013705930824,1,0,1495,1385.1701488308654,True,25.973047338301654,4,461406,7444,37,51,12.506373462541932,True,10.204483055460916,26.26874141049693,10.210184197932742,11.39030227405123,12.933902619289341,13.903831114126774,10.204483055460916,18.55013705930824,6.523084681156837,1845.0
25,11803851.0,11848223.0,1846,66,0.035752979414951244,20.042659926748016,2,61,1278,1147.9712195042455,True,10.737077318032812,4,461466,7504,62,85,40.98362588861561,True,8.540425470719924,17.340535417305645,8.540425470719924,17.340535417305645,21.999104989811997,17.719219431956333,8.540425470719924,13.57762185617305,6.609791024892473,1846.0
