block_id,block_start_time,block_end_time,rows,fraud_count,fraud_rate,flat_tuple_rarity_mean,category_entropy_temporal,transaction_count_signal,p_adic_multiresolution_temporal,p_adic_weighted_depth_temporal,p_adic_p95_temporal,p_adic_depth1_mean,p_adic_depth2_mean,p_adic_depth3_mean,p_adic_depth4_mean,p_adic_depth5_mean,p_adic_ewma_temporal,p_adic_cusum_temporal,flat_ewma_temporal,flat_cusum_temporal,high_fraud_block,isolation_forest_block_features
28,11977187.0,12016025.0,1845,66,0.03577235772357724,0.9394244161727547,6.399294717028905,1845.0,0.6683082454021813,0.7606052449121422,0.9752671079463778,0.3519164628914367,0.5477153446893009,0.7453305724813342,0.7571544307760799,0.9394244161727547,0.7590745111109659,0.028243215339325722,0.9391683481552422,0.01778065235748616,0,0.3823478112596458
29,12016087.0,12083163.0,1846,37,0.020043336944745395,0.9394173927792548,6.446668271005146,1846.0,0.6668475654153274,0.7594564313250933,0.9745430080566977,0.3540842142103759,0.5383599641017456,0.7455496603747835,0.7568265956104772,0.9394173927792548,0.7591699911644978,0.030241512373225365,0.9392306093112455,0.0187933931908133,0,0.36259770581469936
30,12083207.0,12152820.0,1845,77,0.04173441734417344,0.9402006469167088,6.618258526315807,1845.0,0.672198733780538,0.7625687869709238,0.9785750342660382,0.3651822670568497,0.5520540189856817,0.7459886788216994,0.7575680571217507,0.9402006469167088,0.7600196901161043,0.035352165052955464,0.9394731187126113,0.02058938816159439,1,0.38040349814237395
31,12152843.0,12192842.0,1845,56,0.03035230352303523,0.9407001537521142,6.7162297208735255,1845.0,0.6751987117654749,0.7656805524639341,0.9752671079463778,0.3661310265895759,0.5550458769455812,0.7509812684427114,0.7631352330973917,0.9407001537521142,0.7614349057030616,0.04357458322569585,0.939779877472487,0.02288488996778093,0,0.3842507858420782
32,12192900.0,12256669.0,1846,86,0.04658721560130011,0.9364419913632525,6.555235471521916,1846.0,0.6657854565890052,0.7559260340904115,0.9761745729281583,0.36333370566625883,0.542364827121078,0.7385298405462515,0.7482569182481851,0.9364419913632525,0.7600576877998991,0.042042483024913646,0.9389454059451783,0.020922229385105684,1,0.4264915415380529
33,12256694.0,12327346.0,1845,89,0.048238482384823846,0.9328651748607546,6.193419585792121,1845.0,0.6562979086505337,0.7476998562316716,0.9762798114532144,0.3521850575340575,0.5288839762683054,0.7290023792575705,0.7385529553319803,0.9328651748607546,0.7569682299078423,0.03228420496539153,0.9374253481740724,0.015382752299932578,1,0.5374990337685257
34,12327384.0,12400129.0,1846,82,0.044420368364030335,0.9370801814970892,6.316442527291434,1846.0,0.6592839440227146,0.7515852038082703,0.9785750342660382,0.35259907034843085,0.5286614673886882,0.7338608590046564,0.7442181418747087,0.9370801814970892,0.7556224733829493,0.02641127448246816,0.9373390565048266,0.014058281851094034,1,0.41892883459591246
35,12400202.0,12450685.0,1845,44,0.023848238482384824,0.9395132496706573,6.412901458174975,1845.0,0.6632078385040194,0.7560519296384085,0.9770318924882159,0.35041736482955044,0.5353940696311987,0.740850841423869,0.7498636669648213,0.9395132496706573,0.755729837446814,0.02500506982968298,0.9378826047962843,0.015166879575823633,0,0.36676436709757226
36,12450693.0,12518451.0,1846,72,0.0390032502708559,0.9403154820702682,6.283900457922092,1846.0,0.6624259540098572,0.756991630278186,0.9726990773242403,0.336164359307213,0.5420330252423251,0.7414009796883334,0.752215923741146,0.9403154820702682,0.756045285654657,0.02453856581667524,0.9384908241147802,0.01707770970016409,0,0.39602494361284735
37,12518459.0,12586136.0,1845,50,0.02710027100271003,0.9389709914850628,6.326445025862631,1845.0,0.6615383193918188,0.7559844683276171,0.9741477284123959,0.33785074819958916,0.5368577832353392,0.742702543337739,0.7513095307013645,0.9389709914850628,0.7560300813228971,0.023064899853098675,0.9386108659573509,0.017644049239299187,0,0.3760261372072633
38,12586145.0,12628594.0,1846,61,0.03304442036836403,0.9409999181809261,6.629191084540166,1846.0,0.6704230024383823,0.7616483884884077,0.9741622371544145,0.35872643885034744,0.5518022362358966,0.7449503505996209,0.7556360683251201,0.9409999181809261,0.7574346581142748,0.027255154050312647,0.9392081290132447,0.02023931547429758,0,0.37778150740800936
39,12628678.0,12690519.0,1845,52,0.028184281842818428,0.9398189763865346,6.522047624230521,1845.0,0.6631142410551574,0.7560460994517343,0.974326981579915,0.3495721331699327,0.5369704962820363,0.7387549136397993,0.7504546857974848,0.9398189763865346,0.7570875184486396,0.02584311921085325,0.9393608408565671,0.021653639914904432,0,0.37188133370883397
40,12690525.0,12757458.0,1845,62,0.03360433604336043,0.9372579110857802,6.497316959739749,1845.0,0.6644048023821928,0.7554050296899852,0.9758651756761274,0.3615344118539972,0.5356593525016586,0.7383565728145497,0.7492157636549788,0.9372579110857802,0.756666896258976,0.023790014609644805,0.9388351084138704,0.02050689905475689,0,0.38655470433896877
41,12757480.0,12793742.0,1846,36,0.01950162513542795,0.9402281445552882,6.588871776160264,1846.0,0.6686143472625325,0.7598198142254285,0.9742294320195233,0.35906200027751123,0.547995131167493,0.7420416132569935,0.7537448470553773,0.9402281445552882,0.7574551257505892,0.026151694543879667,0.9391833674492249,0.022330391664117433,0,0.37128301185895524
42,12793761.0,12858059.0,1845,53,0.02872628726287263,0.9404970715889086,6.702149842688549,1845.0,0.6773236809511812,0.7649620513762722,0.9763061210844785,0.38338910754467087,0.5576106508332157,0.7471512956680062,0.7579702791211043,0.9404970715889086,0.7593318571570099,0.03365561162895814,0.9395117934841459,0.024422811307098335,0,0.3867169068624145
43,12858068.0,12929784.0,1846,66,0.035752979414951244,0.9372654669288499,6.4006649343204725,1846.0,0.6605907885848376,0.7527888926822418,0.9743457693979206,0.3520767158671307,0.5331487532696391,0.7347201942513027,0.7457428126072653,0.9372654669288499,0.7576961160383179,0.028986370020006258,0.9389502118453219,0.023283626290020565,0,0.404169659124947
44,12929811.0,12998016.0,1845,39,0.02113821138211382,0.9337207671896195,5.974535469472157,1845.0,0.6463378369086068,0.7415416374151707,0.971968976699094,0.32416162698383577,0.5216650250496087,0.7215380130834705,0.7306037522364993,0.9337207671896195,0.7536574963825311,0.013069873143983224,0.9376428506813963,0.018599741533712355,0,0.5983214357173176
45,12998423.0,13049929.0,1846,59,0.031960996749729145,0.9396869556600381,6.561401613065414,1846.0,0.6652996292172545,0.7560582014132062,0.9785884063784976,0.36447461451861535,0.5368735856193144,0.7376355040125572,0.7478274862757468,0.9396869556600381,0.7542576726401999,0.01166994026599577,0.9381538769260568,0.019882045247822777,0,0.3719515805855953
46,13049940.0,13113424.0,1845,73,0.03956639566395664,0.9409710096950532,6.609417793817206,1845.0,0.6694229177895028,0.7600951055259891,0.9756189616554676,0.3623138972940227,0.549362523948176,0.7423360428168518,0.7521311151934104,0.9409710096950532,0.7557170308616472,0.01430691150079122,0.9388581601183059,0.02244840299694828,0,0.3736166225070072
47,13113432.0,13151840.0,1845,57,0.030894308943089432,0.9357399371456356,6.317755708475243,1845.0,0.6569490245288572,0.7491246677695941,0.9741622371544145,0.35059978816616977,0.5277336729088884,0.7305837008625826,0.7400880235610098,0.9357399371456356,0.7540689400886339,0.005973444979191611,0.9380786043751383,0.019783688196656213,0,0.47276676134919443
48,13151880.0,13199298.0,1846,50,0.027085590465872156,0.9379513834975165,6.006711654080229,1846.0,0.6495722812841965,0.7472066075403428,0.9721005917159763,0.32664641870959915,0.502864998636892,0.7356286426737213,0.7447699629032536,0.9379513834975165,0.7523533569515611,0.0,0.9380467991557329,0.01933041974824501,0,0.5119345937510273
49,13199300.0,13230230.0,1845,49,0.026558265582655827,0.9364165850614478,5.93529422438991,1845.0,0.6510733338062494,0.7476249379750508,0.9725492260889914,0.33143244134276667,0.5067349024909364,0.7357420625505021,0.7450406775855943,0.9364165850614478,0.7511712522074336,0.0,0.9376392456321616,0.017342352863765065,0,0.5185432797685985
50,13230244.0,13293667.0,1846,64,0.03466955579631636,0.9401991044886073,6.445757872006197,1846.0,0.6643771517574314,0.7563833719266552,0.9726395296359442,0.358169126544987,0.5337860890841294,0.7399120029341862,0.7498194357352465,0.9401991044886073,0.752474282137239,0.0,0.938279210346273,0.01913680540644469,0,0.36143666066672075
51,13293723.0,13350776.0,1845,85,0.04607046070460705,0.9384994587284152,6.324373663558776,1845.0,0.6645664502939282,0.7569196417578457,0.9741622371544145,0.3573874126565958,0.5300250985309973,0.7438214032075132,0.7530988783461198,0.9384994587284152,0.7535856220423907,0.0,0.9383342724418087,0.019231612188932212,1,0.3697249082350208
52,13350788.0,13379848.0,1846,33,0.017876489707475622,0.9342342101411536,5.77364955202176,1846.0,0.6453876336174472,0.7434240210297113,0.9717346972888042,0.32437634144435984,0.49183721090186455,0.7338231209076201,0.7426672846922381,0.9342342101411536,0.7510452217892208,0.0,0.9373092568666448,0.015061170384158107,0,0.6167186112941191
53,13379849.0,13440104.0,1845,96,0.05203252032520325,0.938757018660348,6.330799537093268,1845.0,0.6644167831970166,0.7556122675361077,0.9782908768762745,0.36555886053294395,0.5280085105885659,0.7402150667831019,0.7495444594201232,0.938757018660348,0.7521869832259426,0.0,0.9376711973150706,0.0154135370985784,1,0.37088121307109423
54,13440144.0,13470993.0,1846,49,0.026543878656554713,0.9361684190218806,6.104143124671974,1846.0,0.6525012748237494,0.7470180580382277,0.9741622371544145,0.3393141681841588,0.5168845638266466,0.729211412717683,0.7409278103683781,0.9361684190218806,0.7508947519290139,0.0,0.9372955027417731,0.013177304174531335,0,0.5042331900958722
55,13471012.0,13540788.0,1845,23,0.012466124661246613,0.940175555180484,6.332236191003346,1845.0,0.6627267226719002,0.7558969091666647,0.9771828302076021,0.3505925123236791,0.5324309195854972,0.7396169949764887,0.7508176312933523,0.940175555180484,0.7521452912384265,0.0,0.9380155158514507,0.014948207409087644,0,0.3796158472994899
56,13540791.0,13609625.0,1845,50,0.02710027100271003,0.940007274483536,6.50181522982882,1845.0,0.6652122455935221,0.7563140273006715,0.9785884063784976,0.364697674747282,0.5329593517678232,0.7395300490664118,0.7488668779025569,0.940007274483536,0.7531874752539878,0.0,0.9385134555094721,0.01655082994669599,0,0.3586786566641654
